ID,Name,lon,lat
STR,Stratton,-102.6,39.29
CCU,Red Cliff Pass,-106.15,39.47
4V0,Rangely,-108.77,40.1
AEJ,Buena Vista,-106.12,38.82
AJZ,Delta/Blake Fld,-108.07,38.78
ANK,Salida,-106.05,38.53
BDU,Boulder Muni,-105.23,40.03
ABH,Ellicott-B Afa,-104.3,38.75
EIK,Erie Muni,-105.05,40.02
FMM,Fort Morgan,-103.8,40.33
GNB,Granby/Grand Co,-105.92,40.08
HEQ,Holyoke,-102.28,40.57
LMO,Longmont/Vbrand,-105.17,40.17
PSO,Pagosa Springs,-107.05,37.28
CPW,Wolf Creek Pass,-106.8,37.45
CRV,Corona Pass,-105.58,40.04
MNH,Monument/Elbert,-104.65,39.22
MYP,Monarch Pass,-106.32,38.47
VTP,La Veta Pass,-105.17,37.5
33V,Walden,-106.28,40.75
20V,Kremmling Awos,-106.37,40.04
4BM,Wilkerson Pass,-105.52,39.04
5SM,Sunlight,-107.38,39.43
7BM,Cottonwood Pass,-106.22,38.78
2V5,Wray,-102.25,40.1
1JW,Juliet Madis,-103.2,40.96666666666667
1LW,Lima Madis,-103.7,40.916666666666664
1MW,Mike Madis,-103.48333333333333,40.7
1OW,Oscar Madis,-104.0,40.88333333333333
BDR,Bridgeport,-73.13,41.17
SNC,Chester,-72.5,41.38
DXR,Danbury,-73.48,41.37
GON,Groton/New Londo,-72.05,41.33
HFD,Hartford/Brainar,-72.65,41.73
MMK,Meriden,-72.83,41.52
HVN,New Haven/Tweed,-72.87,41.27
OXC,Oxford/Waterbury,-73.13,41.47
IJD,Willimantic,-72.18,41.75
BDL,Windsor Locks,-72.68,41.93
5B0,Mansfield,-72.17,41.75
5B3,Putnam,-73.62,41.07
DOV,Dover Afb,-75.47,39.11
33N,Dover/Cheswold,-75.6,39.21666666666667
DOX,Dover/Ellendale,-75.43,38.83
GED,Georgetown,-75.37,38.68
ILG,Wilmington,-75.59,39.67
AAF,Apalachicola,-85.03,29.73
BOW,Bartow Municipal,-81.77,27.93
BCT,Boca Raton,-80.09,26.38
1J0,Bonifay Tri-Cty,-85.6,30.85
BKV,Brooksville,-82.45,28.47
XMR,Cape Canaveral,-80.56,28.47
NZC,Cecil Field Nas,-81.87,30.22
CLW,Clearwater,-82.77,27.98
CEW,Crestview,-86.52,30.78
CTY,Cross City,-83.1,29.63
CGC,Crystal River,-82.57,28.87
DAB,Daytona Beach,-81.06,29.18
54J,De Funiak Sprngs,-86.15,30.73
DED,Deland,-81.28,29.07
DTS,Destin,-86.47,30.4
EGI,Duke Fld/Eglin,-86.52,30.63
EVX,Eglin Afb/88D,-85.92,30.57
VPS,Eglin Afb/Valpar,-86.52,30.47
EGC,Everglades City,-81.38,25.85
FHB,Fernandina Beach,-81.47,30.62
FIN,Palm Coast,-81.2,29.47
FLM,Flamingo/Monroe,-80.92,25.13
FLL,Ft Lauderd/Holly,-80.15,26.07
FXE,Ft Lauderd/Exec,-80.18,26.2
RSW,Fort Myers,-81.75,26.53
FMY,Fort Myers,-81.87,26.58
FPR,Fort Pierce,-80.38,27.5
GNV,Gainesville,-82.28,29.7
HWO,Hollywood,-80.23,26.0
HST,Homestead Afb,-80.37,25.47
HRT,Hurlburt Field,-86.67,30.42
IMM,Immokalee,-81.4,26.43
INF,Inverness,-82.32,28.8
CRG,Jacksonvil/Craig,-81.52,30.33
HEG,Jacksonville/Her,-81.8,30.283333333333335
NIP,Jacksonville Nas,-81.67,30.22
JAX,Jacksonville,-81.68,30.5
ZJX,Jacksonvil/Artcc,-81.9,30.68
VQQ,Jacksonvil/Cecil,-81.88,30.22
NEN,Jacksonvil/Naval,-81.88,30.35
42J,Keystone Heights,-82.05,29.85
NQX,Key West Nas,-81.67,24.57
EYW,Key West,-81.75,24.55
KEY,Key West,-81.78,24.55
BYX,Key W/Boca Chica,-81.7,24.6
ISM,Kissimmee/Orland,-81.43,28.28
X14,La Belle,-81.43,26.73
LCQ,Lake City,-82.58,30.18
X07,Lake Wales,-81.61666666666666,27.9
LAL,Lakeland Regiona,-82.02,27.97
LNA,West Palm Beach/,-80.08333333333333,26.6
LEE,Leesburg,-81.81,28.82
24J,Live Oak,-83.02,30.3
MCF,Macdill Afb/Tamp,-82.52,27.85
MTH,Marathon,-81.05,24.73
MKY,Marco Island,-81.67,26.0
MAI,Marianna,-85.18,30.83
NRB,Mayport Nas,-81.42,30.38
MLB,Melbourne,-80.65,28.1
COI,Merritt Island,-80.68,28.33
AMX,Miami/88D,-80.42,25.62
MFL,Miami/Wfo,-80.37,25.75
TMB,Miami/Tamiami,-80.43,25.65
MIA,Miami,-80.28,25.8
ZMA,Miami/Artcc,-80.18,25.77
OPF,Miami/Opa Locka,-80.28,25.92
MBF,Miami Beach,-80.13,25.77
NDZ,Milton/Whiting S,-87.02,30.7
APF,Naples Municipal,-81.77,26.15
